Model,Year,CarCompany,CountryOrigin
ILX,2012,Acura,Japan
Telluride,2013,Kia,South Korea
Sonata,2022,Hyundai,South Korea
XC90,2012,Volvo,Sweden
F8 Tributo,2022,Ferrari,Italy
5 Series,2019,BMW,Germany
Optima,2012,Kia,South Korea
500,2023,Fiat,Italy
Crosstrek,2010,Subaru,Japan
500,2014,Fiat,Italy
Tiguan,2023,Volkswagen,Germany
E-Class,2011,Mercedes-Benz,Germany
3008,2020,Peugeot,France
SF90,2011,Ferrari,Italy
S60,2017,Volvo,Sweden
Sentra,2023,Nissan,Japan
Range Rover,2010,Land Rover,UK
RX,2022,Lexus,Japan
M3,2011,BMW,Germany
Telluride,2014,Kia,South Korea
Roma,2015,Ferrari,Italy
MDX,2014,Acura,Japan
Tiguan,2012,Volkswagen,Germany
Discovery,2021,Land Rover,UK
3 Series,2017,BMW,Germany
Charger,2016,Dodge,USA
NX,2010,Lexus,Japan
5 Series,2013,BMW,Germany
Sonata,2022,Hyundai,South Korea
Silverado,2016,Chevrolet,USA
Elantra,2013,Hyundai,South Korea
Model 3,2015,Tesla,USA
Sorento,2013,Kia,South Korea
TLX,2019,Acura,Japan
RDX,2024,Acura,Japan
Defender,2021,Land Rover,UK
Elantra,2014,Hyundai,South Korea
Durango,2022,Dodge,USA
F-Type,2015,Jaguar,UK
Challenger,2016,Dodge,USA
Elantra,2010,Hyundai,South Korea
Tahoe,2023,Chevrolet,USA
308,2021,Peugeot,France
Equinox,2021,Chevrolet,USA
XF,2021,Jaguar,UK
3 Series,2010,BMW,Germany
SF90,2015,Ferrari,Italy
ES,2021,Lexus,Japan
Charger,2011,Dodge,USA
Sorento,2018,Kia,South Korea
CR-V,2022,Honda,Japan
308,2016,Peugeot,France
Jetta,2011,Volkswagen,Germany
Pilot,2017,Honda,Japan
488 GTB,2012,Ferrari,Italy
Rogue,2013,Nissan,Japan
Altima,2021,Nissan,Japan
GLC,2018,Mercedes-Benz,Germany
Prius,2015,Toyota,Japan
Talisman,2023,Renault,France
Pacifica,2018,Chrysler,USA
Discovery,2024,Land Rover,UK
Crosstrek,2022,Subaru,Japan
RX,2022,Lexus,Japan
488 GTB,2011,Ferrari,Italy
Defender,2015,Land Rover,UK
Range Rover,2012,Land Rover,UK
S60,2013,Volvo,Sweden
Defender,2013,Land Rover,UK
Tiguan,2016,Volkswagen,Germany
Silverado,2023,Chevrolet,USA
Impreza,2016,Subaru,Japan
Roma,2010,Ferrari,Italy
NX,2010,Lexus,Japan
Optima,2014,Kia,South Korea
Optima,2018,Kia,South Korea
ILX,2011,Acura,Japan
500X,2014,Fiat,Italy
ES,2018,Lexus,Japan
Pilot,2016,Honda,Japan
Explorer,2014,Ford,USA
Optima,2015,Kia,South Korea
ES,2017,Lexus,Japan
Camry,2017,Toyota,Japan
CR-V,2015,Honda,Japan
Durango,2023,Dodge,USA
Model 3,2015,Tesla,USA
F-150,2013,Ford,USA
CR-V,2024,Honda,Japan
Corolla,2023,Toyota,Japan
3008,2023,Peugeot,France
F-Type,2022,Jaguar,UK
TLX,2016,Acura,Japan
F-Pace,2023,Jaguar,UK
M3,2013,BMW,Germany
Crosstrek,2023,Subaru,Japan
Durango,2022,Dodge,USA
Optima,2016,Kia,South Korea
Captur,2022,Renault,France
SF90,2023,Ferrari,Italy
X3,2014,BMW,Germany
RAV4,2020,Toyota,Japan
NX,2016,Lexus,Japan
Equinox,2011,Chevrolet,USA
X5,2016,BMW,Germany
RAV4,2020,Toyota,Japan
Telluride,2010,Kia,South Korea
RX,2017,Lexus,Japan
Silverado,2020,Chevrolet,USA
XC60,2012,Volvo,Sweden
X3,2023,BMW,Germany
CR-V,2024,Honda,Japan
3 Series,2022,BMW,Germany
Charger,2014,Dodge,USA
300,2016,Chrysler,USA
Tipo,2021,Fiat,Italy
CX-5,2020,Mazda,Japan
Model X,2017,Tesla,USA
308,2019,Peugeot,France
Elantra,2023,Hyundai,South Korea
Challenger,2019,Dodge,USA
Model 3,2013,Tesla,USA
300,2023,Chrysler,USA
Sonata,2017,Hyundai,South Korea
Optima,2016,Kia,South Korea
S-Class,2023,Mercedes-Benz,Germany
Talisman,2013,Renault,France
Sonata,2022,Hyundai,South Korea
Talisman,2016,Renault,France
Maxima,2014,Nissan,Japan
X3,2024,BMW,Germany
Megane,2017,Renault,France
Clio,2023,Renault,France
Silverado,2017,Chevrolet,USA
Explorer,2021,Ford,USA
F-Type,2013,Jaguar,UK
5 Series,2014,BMW,Germany
3 Series,2010,BMW,Germany
Clio,2010,Renault,France
488 GTB,2010,Ferrari,Italy
Discovery,2016,Land Rover,UK
3008,2019,Peugeot,France
500,2024,Fiat,Italy
Model S,2013,Tesla,USA
Challenger,2017,Dodge,USA
500X,2019,Fiat,Italy
X5,2018,BMW,Germany
Model X,2011,Tesla,USA
Discovery,2016,Land Rover,UK
Tipo,2013,Fiat,Italy
X5,2016,BMW,Germany
Sentra,2015,Nissan,Japan
Model X,2017,Tesla,USA
XE,2020,Jaguar,UK
Mazda3,2019,Mazda,Japan
Tucson,2019,Hyundai,South Korea
488 GTB,2021,Ferrari,Italy
300,2022,Chrysler,USA
TLX,2015,Acura,Japan
XC60,2014,Volvo,Sweden
Model 3,2014,Tesla,USA
3 Series,2012,BMW,Germany
Tahoe,2016,Chevrolet,USA
XF,2010,Jaguar,UK
Elantra,2020,Hyundai,South Korea
500,2011,Fiat,Italy
X5,2010,BMW,Germany
NX,2024,Lexus,Japan
Camry,2016,Toyota,Japan
Prius,2016,Toyota,Japan
Defender,2015,Land Rover,UK
F-Type,2014,Jaguar,UK
Forester,2021,Subaru,Japan
300,2018,Chrysler,USA
SF90,2015,Ferrari,Italy
Civic,2016,Honda,Japan
CX-9,2021,Mazda,Japan
Mazda6,2022,Mazda,Japan
Accord,2010,Honda,Japan
Model 3,2011,Tesla,USA
GLE,2017,Mercedes-Benz,Germany
Pacifica,2015,Chrysler,USA
Telluride,2017,Kia,South Korea
RDX,2013,Acura,Japan
